date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2021-03-26,VXX,2026-05-08,US/Eastern,12.62,13.3,11.6,11.74,311154972,-0.88,-6.97,-8.07,-87.98,1.7,0.14,13.47,8.27,14.35,19.09
2021-04-01,VXX,2026-05-08,US/Eastern,12.01,12.37,10.97,11.05,217398824,-0.96,-7.99,-5.88,-88.69,1.4,0.13,11.66,-30.13,13.68,18.5
2021-04-09,VXX,2026-05-08,US/Eastern,10.71,10.9,10.14,10.31,228123063,-0.4,-3.73,-6.7,-89.45,0.75,0.07,7.05,4.93,13.0,17.99
2021-04-16,VXX,2026-05-08,US/Eastern,10.39,10.59,9.73,9.81,252634797,-0.58,-5.58,-4.85,-89.96,0.86,0.09,8.28,10.74,12.11,17.51
2021-04-23,VXX,2026-05-08,US/Eastern,9.89,41.58,9.77,40.17,366864908,30.28,306.17,309.48,-58.88,31.81,0.79,321.64,45.22,15.69,17.99
2021-04-30,VXX,2026-05-08,US/Eastern,39.77,40.53,38.0,40.16,80915686,0.39,0.98,-0.02,-58.89,2.53,0.06,6.36,-77.94,19.43,18.47
2021-05-07,VXX,2026-05-08,US/Eastern,39.2,42.39,36.58,36.74,103762199,-2.46,-6.28,-8.52,-62.4,5.81,0.16,14.83,28.23,22.85,18.95
2021-05-14,VXX,2026-05-08,US/Eastern,36.68,49.95,36.04,38.6,203012029,1.92,5.25,5.08,-60.49,13.91,0.36,37.92,95.65,26.69,19.5
2021-05-21,VXX,2026-05-08,US/Eastern,39.37,46.32,38.42,39.48,181142303,0.11,0.28,2.27,-59.59,7.9,0.2,20.07,-10.77,30.75,20.08
2021-05-28,VXX,2026-05-08,US/Eastern,38.67,38.73,33.66,34.7,93162305,-3.97,-10.27,-12.11,-64.48,5.07,0.15,13.11,-48.57,34.24,20.35
2021-06-04,VXX,2026-05-08,US/Eastern,33.85,36.18,33.25,33.39,83657826,-0.46,-1.36,-3.78,-65.82,2.93,0.09,8.66,-10.2,37.61,20.78
2021-06-11,VXX,2026-05-08,US/Eastern,33.36,33.91,30.58,30.82,94972384,-2.54,-7.61,-7.7,-68.45,3.33,0.11,9.98,13.52,36.27,21.17
2021-06-18,VXX,2026-05-08,US/Eastern,30.73,34.88,30.63,34.69,172271185,3.96,12.89,12.56,-64.49,4.25,0.12,13.83,81.39,35.49,21.71
2021-06-25,VXX,2026-05-08,US/Eastern,33.45,34.48,29.15,29.15,86869486,-4.3,-12.86,-15.97,-70.16,5.33,0.18,15.93,-49.57,34.4,22.09
2021-07-02,VXX,2026-05-08,US/Eastern,28.98,30.18,28.07,28.91,95495330,-0.07,-0.24,-0.82,-70.41,2.11,0.07,7.28,9.93,33.02,22.49
2021-07-09,VXX,2026-05-08,US/Eastern,28.66,32.47,28.63,29.43,105190209,0.77,2.69,1.8,-69.88,3.84,0.13,13.4,10.15,31.58,22.87
2021-07-16,VXX,2026-05-08,US/Eastern,29.51,30.62,28.51,30.55,122586704,1.04,3.52,3.81,-68.73,2.11,0.07,7.15,16.54,30.99,23.32
2021-07-23,VXX,2026-05-08,US/Eastern,32.31,37.04,29.7,30.33,186706864,-1.98,-6.13,-0.72,-68.96,7.34,0.24,22.72,52.31,30.55,23.76
