sector,source,year,region,m49_code,country,household_kg_per_capita_year,household_tonnes_year,confidence_in_estimate
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,562,Niger,92,2411286,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,566,Nigeria,113,24791826,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,638,Réunion,93,89759,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,646,Rwanda,141,1937761,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,654,Saint Helena,93,925,Very Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,678,Sao Tome and Principe,89,20499,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,686,Senegal,77,1328487,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,690,Seychelles,183,20089,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,694,Sierra Leone,92,792109,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,706,Somalia,92,1619177,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,710,South Africa,47,2819981,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,728,South Sudan,92,1003706,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,768,Togo,92,814188,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,800,Uganda,110,5209076,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,834,United Rep. of Tanzania,152,9960496,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,894,Zambia,78,1559958,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,716,Zimbabwe,48,791249,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,51,Armenia,102,283222,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,31,Azerbaijan,102,1055462,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,48,Bahrain,132,193612,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,196,Cyprus,71,88750,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,268,Georgia,101,377643,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,368,Iraq,143,6378198,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,376,Israel,97,874433,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,400,Jordan,101,1136788,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,414,Kuwait,99,420861,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,422,Lebanon,128,701828,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,512,Oman,99,451415,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,634,Qatar,93,250830,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,682,Saudi Arabia,105,3818681,High Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,275,State of Palestine,102,534863,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,760,Syrian Arab Republic,172,3798032,Medium Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,792,Turkey,102,8694318,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,784,United Arab Emirates,99,930427,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Asia,887,Yemen,104,3490097,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,40,Austria,83,742020,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,56,Belgium,71,827860,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,250,France,61,3942430,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,276,Germany,78,6502860,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,438,Liechtenstein,81,3235,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,442,Luxembourg,91,59150,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,492,Monaco,81,3235,Low Confidence
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,528,Netherlands,59,1036040,Eurostat
Household,UNEP Food Waste Index Report 2024,2024,Western Europe,756,Switzerland,119,1041879,Medium Confidence
