sector,source,year,region,m49_code,country,food_service_kg_per_capita_year,food_service_tonnes_year,confidence_in_estimate
Food Service,UNEP Food Waste Index Report 2024,2024,Southern Europe,724,Spain,4,190240,Eurostat
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,24,Angola,31,1108181,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,204,Benin,31,415685,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,72,Botswana,31,81316,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,854,Burkina Faso,31,705886,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,108,Burundi,31,401362,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,132,Cabo Verde,31,18371,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,120,Cameroon,31,869046,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,140,Central African Republic,31,173747,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,148,Chad,31,551755,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,174,Comoros,31,26155,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,178,Congo,31,185891,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,384,Côte d’Ivoire,31,876830,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,180,Dem. Rep. of the Congo,31,3082918,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,262,Djibouti,31,34874,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,226,Equatorial Guinea,31,51634,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,232,Eritrea,31,114586,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,748,Eswatini,31,37365,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,231,Ethiopia,31,3841737,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,266,Gabon,31,73896,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,270,Gambia,31,84382,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,288,Ghana,31,1042481,Very Low Confidence
Food Service,UNEP Food Waste Index Report 2024,2024,Sub-Saharan Africa,324,Guinea,31,431565,Very Low Confidence
